Foot,Name,Position,Club,Country,Age,Salary,Goals
Left,Etrit Berisha,Goalkeeper,Lazio,Albania,27,4000000,0
Right,Andi Lila,Defender,PAS Giannina,Albania,30,700000,0
Left,Ermir Lenjani,Midfielder,Nantes,Albania,26,1250000,3
Right,Elseid Hysaj,Defender,Napoli,Albania,22,12000000,0
Right,Lorik Cana,Midfielder,Nantes,Albania,32,1000000,1
Right,Frederik Veseli,Defender,Lugano,Albania,23,800000,0
Both,Ansi Agolli,Defender,QarabaÄŸ,Albania,33,300000,2
Right,Migjen Basha,Midfielder,Como,Albania,29,800000,3
Right,Ledian Memushaj,Midfielder,Pescara,Albania,29,2000000,0
Right,Armando Sadiku,Forward,Vaduz,Albania,25,750000,4
Left,ShkÃ«lzen Gashi,Forward,States Colorado Rapids,Albania,27,2750000,1
Unknown,Orges Shehi,Goalkeeper,SkÃ«nderbeu KorÃ§Ã«,Albania,38,125000,0
Left,Burim Kukeli,Midfielder,ZÃ¼rich,Albania,32,500000,0
Right,Taulant Xhaka,Midfielder,Basel,Albania,25,4000000,0
Left,MÃ«rgim Mavraj,Defender,1. FC KÃ¶ln,Albania,30,1750000,3
Right,Sokol Cikalleshi,Forward,Ä°stanbul BaÅŸakÅŸehir,Albania,25,2800000,2
Left,Naser Aliji,Defender,Basel,Albania,22,700000,0
Right,Arlind Ajeti,Defender,Frosinone,Albania,22,1500000,1
Right,Bekim Balaj,Forward,Rijeka,Albania,25,2000000,2
Right,Ergys KaÃ§e,Midfielder,PAOK,Albania,22,3000000,2
Right,Odise Roshi,Midfielder,Rijeka,Albania,25,350000,1
Right,Amir Abrashi,Midfielder,SC Freiburg,Albania,26,2500000,0
Right,Alban Hoxha,Goalkeeper,Partizani Tirana,Albania,28,575000,0
Left,Hugo Lloris,Goalkeeper,Tottenham Hotspur,France,29,24000000,0
Right,Christophe Jallet,Defender,Lyon,France,32,2000000,1
Left,Patrice Evra,Defender,Juventus,France,35,1000000,0
Right,Adil Rami,Defender,Sevilla,France,30,7000000,1
Right,N'Golo KantÃ©,Midfielder,Leicester City,France,25,20000000,1
Right,Yohan Cabaye,Midfielder,Crystal Palace,France,30,18000000,4
Left,Antoine Griezmann,Forward,AtlÃ©tico Madrid,France,25,70000000,7
Right,Dimitri Payet,Midfielder,West Ham United,France,29,23000000,2
Left,Olivier Giroud,Forward,Arsenal,France,29,25000000,14
Right,AndrÃ©-Pierre Gignac,Forward,Tigres UANL,France,30,8000000,7
Right,Anthony Martial,Forward,Manchester United,France,20,32000000,0
Right,Morgan Schneiderlin,Midfielder,Manchester United,France,26,30000000,0
Left,Eliaquim Mangala,Defender,Manchester City,France,25,23000000,0
Left,Blaise Matuidi,Midfielder,Paris Saint-Germain,France,29,30000000,7
Both,Paul Pogba,Midfielder,Juventus,France,23,70000000,5
Right,Steve Mandanda,Goalkeeper,Marseille,France,31,10000000,0
Left,Lucas Digne,Defender,Roma,France,22,12000000,0
Right,Moussa Sissoko,Midfielder,Newcastle United,France,26,13000000,1
Right,Bacary Sagna,Defender,Manchester City,France,33,7000000,0
Right,Kingsley Coman,Midfielder,Bayern Munich,France,19,17000000,1
Right,Laurent Koscielny,Defender,Arsenal,France,30,22000000,0
Left,Samuel Umtiti,Defender,Lyon,France,22,15000000,0
Right,BenoÃ®t Costil,Goalkeeper,Rennes,France,28,8000000,0
Right,Costel Pantilimon,Goalkeeper,Watford,Romania,29,4500000,0
Right,Alexandru MÄƒÈ›el,Defender,Dinamo Zagreb,Romania,26,1000000,0
Left,RÄƒzvan RaÈ›,Defender,Rayo Vallecano,Romania,35,500000,2
Right,Cosmin MoÈ›i,Defender,Ludogorets Razgrad,Romania,31,1250000,0
Right,Ovidiu Hoban,Midfielder,Hapoel Be'er Sheva,Romania,33,800000,1
Right,Vlad ChiricheÈ™,Defender,Napoli,Romania,26,5500000,0
Right,Alexandru Chipciu,Midfielder,Steaua BucureÈ™ti,Romania,27,2000000,3
Right,Mihai Pintilii,Midfielder,Steaua BucureÈ™ti,Romania,31,1000000,1
Left,Denis Alibec,Forward,Astra Giurgiu,Romania,25,2500000,1
Right,Nicolae Stanciu,Midfielder,Steaua BucureÈ™ti,Romania,23,3500000,3
Both,Gabriel Torje,Midfielder,OsmanlÄ±spor,Romania,26,4000000,10
Right,Ciprian TÄƒtÄƒruÈ™anu,Goalkeeper,Fiorentina,Romania,30,5000000,0
Left,Claudiu KeÈ™erÃ¼,Forward,Ludogorets Razgrad,Romania,29,4000000,4
Right,Florin Andone,Forward,CÃ³rdoba,Romania,23,2500000,1
Right,ValericÄƒ GÄƒman,Defender,Astra Giurgiu,Romania,27,2200000,1
Left,Steliano Filip,Defender,Dinamo BucureÈ™ti,Romania,22,1250000,0
Right,Lucian SÃ¢nmÄƒrtean,Midfielder,Arabia Al-Ittihad,Romania,36,300000,0
Both,Andrei PrepeliÈ›Äƒ,Midfielder,Ludogorets Razgrad,Romania,30,1900000,0
Right,Bogdan Stancu,Forward,GenÃ§lerbirliÄŸi,Romania,28,4000000,9
Right,Adrian Popa,Midfielder,Steaua BucureÈ™ti,Romania,27,2000000,0
Right,DragoÈ™ Grigore,Defender,Al-Sailiya,Romania,29,1500000,0
Right,Cristian SÄƒpunaru,Defender,Pandurii TÃ¢rgu Jiu,Romania,32,1000000,0
Right,Silviu Lung Jr.,Goalkeeper,Astra Giurgiu,Romania,27,2500000,0
Right,Yann Sommer,Goalkeeper,Borussia MÃ¶nchengladbach,Switzerland,27,10000000,0
Right,Stephan Lichtsteiner,Defender,Juventus,Switzerland,32,6000000,5
Left,FranÃ§ois Moubandje,Defender,Toulouse,Switzerland,25,1500000,0
Right,Nico Elvedi,Defender,Borussia MÃ¶nchengladbach,Switzerland,19,4000000,0
Right,Steve von Bergen,Defender,Young Boys,Switzerland,33,1000000,0
Right,Michael Lang,Defender,Basel,Switzerland,25,4250000,2
